,Movie Name,Imdb Ratings,Genre,Run Time,Director,Stars,Votes,Certificate
145,Dragonslayer (1981),6.7,"Action, Adventure, Fantasy",108 min,Matthew Robbins,"Peter MacNicol,Caitlin Clarke,Ralph Richardson,John Hallam,","15,094",U
146,Amy (1981),6.7,"Family, Drama",100 min,Vincent McEveety,"Jenny Agutter,Barry Newman,Kathleen Nolan,Chris Robinson,",348,
147,The Devil and Max Devlin (1981),5.1,"Comedy, Family, Fantasy",96 min,Steven Hilliard Stern,"Elliott Gould,Bill Cosby,Susan Anspach,Adam Rich,","1,148",
148,Condorman (1981),5.8,"Action, Adventure, Comedy",90 min,Charles Jarrott,"Michael Crawford,Oliver Reed,Barbara Carrera,James Hampton,","4,545",
149,The Fox and the Hound (1981),7.3,"Animation, Adventure, Drama",83 min,Ted Berman,"Richard Rich,Art Stevens,David Hand,Wolfgang Reitherman,Mickey Rooney,Kurt Russell,Pearl Bailey,Jack Albertson,","84,885",U
150,Tex (1982),6.5,Drama,103 min,Tim Hunter,"Matt Dillon,Jim Metzler,Meg Tilly,Bill McKinney,","1,976",
151,Night Crossing (1982),6.5,"Drama, Family, History",107 min,Delbert Mann,"John Hurt,Jane Alexander,Doug McKeon,Keith McKeon,","1,275",
152,TRON (1982),6.8,"Action, Adventure, Sci-Fi",96 min,Steven Lisberger,"Jeff Bridges,Bruce Boxleitner,David Warner,Cindy Morgan,","113,347",U
153,Tiger Town (1983 TV Movie),6.7,"Drama, Family, Sport",95 min,Alan Shapiro,"Bethany Carpenter,Lindsay Barr,Dave Bokas,Chris Bremer,",253,
154,Something Wicked This Way Comes (1983),6.8,"Fantasy, Mystery, Thriller",95 min,Jack Clayton,"Jason Robards,Jonathan Pryce,Diane Ladd,Royal Dano,","8,393",
155,Trenchcoat (1983),5.4,"Comedy, Mystery, Thriller",91 min,Michael Tuchner,"Margot Kidder,Robert Hays,David Suchet,Gila von Weitershausen,",447,
